state,policy,banType,abortions,abortionsPerThousandWomen,abortionClinics,percentCountiesNoProvider,drivingDistanceAfter24weeks
Alabama,Most Restrictive,Total abortion ban,"5,700",6,5,93,Average one-way driving distance for women aged 15-49 in Alabama to the nearest clinic that performs abortions after 24 weeks = 507 miles
Alaska,Protective,No gestational ban,"1,240",8.6,4,86,
Arizona,Very Restrictive,15-week ban,"13,320",9.3,8,80,Average one-way driving distance for women aged 15-49 in Arizona to the nearest clinic that performs abortions after 24 weeks = 336 miles
Arkansas,Most Restrictive,Total abortion ban,"3,250",5.6,3,97,Average one-way driving distance for women aged 15-49 in Arkansas to the nearest clinic that performs abortions after 24 weeks = 359 miles
California,Very Protective,24–26-week ban,"154,060",19.2,161,40,Average one-way driving distance for women aged 15-49 in California to the nearest clinic that performs abortions after 24 weeks = 14 miles
Colorado,Protective,State Medicaid coverage ban,"13,420",11.2,18,80,Average one-way driving distance for women aged 15-49 in Colorado to the nearest clinic that performs abortions after 24 weeks = 881 miles
Connecticut,Protective,24–26-week ban,"11,170",16.7,26,13,Average one-way driving distance for women aged 15-49 in Connecticut to the nearest clinic that performs abortions after 24 weeks = 65 miles
DC,Protective,State Medicaid coverage ban,"9,410",48.9,4,0,Average one-way driving distance for women aged 15-49 in Delaware to the nearest clinic that performs abortions after 24 weeks = 50 miles
Delaware,Some Restrictions/Protections,24–26-week ban,"1,830",10,4,33,Average one-way driving distance for women aged 15-49 in District of Columbia to the nearest clinic that performs abortions after 24 weeks = 3 miles
Florida,Most Restrictive,Only physicians can provide abortions,"77,400",19.7,65,73,Average one-way driving distance for women aged 15-49 in Florida to the nearest clinic that performs abortions after 24 weeks = 908 miles
Georgia,Restrictive,Only physicians can provide abortions,"41,620",18.9,15,95,Average one-way driving distance for women aged 15-49 in Georgia to the nearest clinic that performs abortions after 24 weeks = 558 miles
Hawaii,Protective,24–26-week ban,"3,130",12.1,4,40,Abortions after 24 weeks are not available at any clinic in Hawaii
